Designator,Footprint,Quantity,Value,LCSC Part #
"_3, _2, ",,3,,
"BUT1, RST1","T1107A(6x3,8x2,5MM)",2,"T1107A(6x3,8x2,5MM)",
C1,CP_Elec_10x10.5,1,220uF/50V/10*10mm,
"C10, C9",0603,2,27pF/50V/5%/C0G/C0603,
"C11, C19, C21",1210,3,330uF/6.3V/20%/X5R/C1210,
"C12, C14, C15, C16, C18, C8",0603,6,100nF/50V/20%/Y5V/C0603,
"C13, C2, C5, C6, C7",0603,5,22uF/6.3V/20%/X5R/C0603,
C17,0603,1,2.2uF/6.3V/10%/X5R/C0603,
C20,0603,1,NA(10uF/6.3V/20%/X5R/C0603),
C22,0603,1,1uF/C0603,
C23,0805,1,100nF/6.3V/20%/X5R/C0805,
C24,0805,1,47uF/6.3V/20%/X5R/C0805,
"C25, C26, C27, C28, C29, C30, C31, C32",0805,8,1uF/6.3V/20%/X5R/C0805,
C3,1206,1,1nF/2000V/10%/X7R/C1206,
C4,1206,1,NA(1nF/2000V/10%/X7R/C1206),
CON1,HN1x20,1,NA(NH1x20),
D1,SMA-KA,1,1N5822/SS34/SMA,
D2,DO214AA_1(K)-2(A),1,SMBJ6.0A(DO-214AA),
"D3, D4",SOD-123_1C-2A_KA,2,1N5819S4/SOD123,
D5,SOT23-3,1,BAT54C(SOT23-3),
"FET1, FET2",SOT23,2,WPM2015-3/TR,
"FID1, FID3",Fiducial1x3,2,Fiducial,
GND1,TESTPAD_40-ROUND,1,TESTPAD,
J1,Molex_Mini-Fit_Jr_5569-04A1_2x02_P4.20mm_Horizontal,1,Conn_02x02_P4.20mm_Molex_Horizontal,
"J2, J3, J4, J5, J6, J7, J8, J9",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,8,Conn_01x04_P1.00mm_Stemma qt/Qwiic,
L1,L_0805_5MIL_DWS,1,NA(FB0805/600R/2A),
"L2, L3",L_0805_5MIL_DWS,2,FB0805/600R/2A,
LAN1,RJLBC-060TC1,1,RJLD-060TC1(LPJ4013EDNL),
LED1,LED_0603_KA,1,LED/GREEN/0603,
LED_E1,SJ,1,Closed,
"MH1, MH2",Mounting_hole_Shield_3.3mm,2,Mounting_hole_Shield_3.3mm,
MICRO_SD1,TFC-WXCP11-08-LF,1,TFC-WXCP11-08-LF,
PHY_RST1,SJ,1,Opened,
PWRLED1,LED_0603_KA,1,LED/RED/0603,
Q1,Q_49U3HMS,1,Q12MHz/20pF/30ppm/2P/HC-49SM(SMD),
"Q2, Q3",SOT23,2,BC817-40(SOT23),
"R1, R14, R15",0603,3,1k/R0603,
"R10, R11, R17, R19, R2, R21, R26, R51",0603,8,10k/R0603,
R12,0603,1,1M/R0603,
"R13, R20, R22, R23, R24, R25, R27, R28",0603,8,2.2k/R0603,
"R16, R41, R50",0603,3,220R/R0603,
R18,0603,1,12.1k/1%/R0603,
"R29, R30, R31, R32, R36, R37, R38, R39, R42, R43, R44, R45, R46, R47, R48, R49",0603,16,4.7k/R0603,
R3,0603,1,0R(Board_Mounted),
"R33, R34, R35, R52",0603,4,NA/R0603,
"R4, R5",0603,2,330R/R0603,
R40,0603,1,10R/R0603,
"R53, R54",0603,2,5.1k/R0603,
"R6, R7, R8, R9",0603,4,49.9R/1%/R0603,
"RM1, RM2",R_MATRIX_4,2,RA1206_(4X0603)_4B8_2.2k,
Sign-Antistatic,LOGO_ANTISTATIC_1,1,Val**,
Sign-RecyclBin,LOGO_RECYCLEBIN_1,1,,
Sign_Pb-Free,LOGO_PBFREE,1,,
Sign_RoHS,LOGO_ROHS_1,1,Val**,
T1,SOT23,1,DTC114YKA,
U1,K78122000R3L,1,K7805-2000R3L,
U2,SSOP-20W,1,CH340T(SSOP20W),
U3,QFN32_EP(33)_5.00x5.00x0.90mm_Pitch_0.50mm,1,LAN8710A-EZC(QFN32),
U4,K78122000R3L,1,K7803-2000R3L,
U5,TSSOP-24_4.4x7.8mm_P0.65mm,1,TCA9548APWR,
U6,ESP-WROOM-32_MODULE,1,ESP32-WROOM-32D-4MB,
U7,USB2.0_TYPE-C(A40-00119-A52-12),1,USB-C-16P-F(A40-00119-A52-12),
